date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary,TOI,FP/60,FP,value
21_02_10,Anthony Bitetto,D,NYR,BOS,0.16310257339615847,0.8155128669807923,3.588256614715486,2.772743747734694,0.09786154403769509,14.514999999999969,0.10933525682396233,0.0,2.4,3.9,3500,9.9666666666667,0.0,0.0,0.0
21_02_10,Ben Chiarot,D,MTL,TOR,0.21646973933435515,0.541174348335888,6.061152701361944,3.7882204383512152,0.20564625236763742,22.154444444444476,0.13432411067193634,0.0,3.3,8.5,3800,21.61666666666637,35.528141865844745,12.8,3.368421052631579
21_02_10,Brandon Carlo,D,BOS,NYR,0.2523836231071232,0.7571508693213697,5.300056085249586,3.15479528883904,0.1476444195176671,19.261111111111095,0.0,0.0,3.1,7.0,3800,13.9833333333333,6.865315852205023,1.6,0.4210526315789474
21_02_10,Brett Kulak,D,MTL,TOR,0.0,0.5915020866879126,5.915020866879127,3.549012520127476,0.15142453419210566,17.28055555555568,0.18307366469676517,0.0,3.3,4.8,3500,14.283333333333331,0.0,0.0,0.0
21_02_10,Charlie McAvoy,D,BOS,NYR,0.515936711763354,1.5478101352900622,4.8498050905755274,4.8498050905755274,0.29821141939921864,23.339444444444553,0.20491270963059222,0.690138339219175,3.1,12.0,5200,25.0666666666663,45.95744680851132,19.200000000000003,3.6923076923076925
21_02_10,Jacob Trouba,D,NYR,BOS,0.0,0.6689584688283935,5.686146985041344,5.909133141317475,0.2274458794016538,21.907222222222227,0.1483120860483984,0.8689238808316934,2.4,10.5,4100,24.0499999999997,15.966735966736168,6.4,1.5609756097560976
21_02_10,Jake Muzzin,D,TOR,MTL,0.43619180322903073,1.5266713113016075,5.561445491170141,5.125253687941111,0.17447672129161226,21.752777777777784,0.1417533663399927,0.0,3.3,10.3,4400,19.933333333333,81.87290969899804,27.200000000000003,6.1818181818181825
21_02_10,Jakub Zboril,D,BOS,NYR,0.0789275958360789,0.40947312635086475,3.3773569369764527,2.7666425560046073,0.12437537900777165,15.735523093147409,0.12354018528166472,0.0,3.1,4.2,3500,21.399999999999668,13.457943925233856,4.800000000000001,1.3714285714285717
21_02_10,Jeff Petry,D,MTL,TOR,0.7863205192211672,0.5616575137294052,4.605591612581123,3.032950574138788,0.3313779331003491,23.248333333333356,0.33683604433568454,0.8479964022837623,3.3,11.6,6100,22.383333333333,17.15562174236809,6.4,1.0491803278688525
21_02_10,Jeremy Lauzon,D,BOS,NYR,0.13752530847690753,0.4125759254307225,4.675860488214855,3.163082094968873,0.20491270963059222,17.20166666666664,0.29821141939921864,0.0,3.1,5.9,3600,22.383333333333,0.0,0.0,0.0
21_02_10,Joel Edmundson,D,MTL,TOR,0.5182092989779764,0.9068662732114586,5.4411976392687516,3.7570174175903293,0.33683604433568454,18.552777777777763,0.3313779331003491,0.0,3.3,8.1,3600,17.64999999999963,16.317280453258135,4.800000000000001,1.3333333333333335
21_02_10,Justin Holl,D,TOR,MTL,0.21585969120072013,0.7555089192025205,3.453755059211522,4.209263978414042,0.1521810822965077,22.160555555555508,0.15290118583754497,0.0,3.3,8.4,3800,19.983333333333,60.05004170141885,20.0,5.263157894736842
21_02_10,K'Andre Miller,D,NYR,BOS,0.19190226334798438,0.5160494610905467,3.758873946529617,3.619253233922064,0.1483120860483984,16.114860644800284,0.2274458794016538,0.0,2.4,8.9,3700,22.6666666666667,16.94117647058821,6.4,1.7297297297297298
21_02_10,Kevan Miller,D,BOS,NYR,0.0789275958360789,0.5477840320309727,3.2238315106901,2.584710271624287,0.12354018528166472,15.912436366505931,0.12437537900777165,0.0,3.1,5.5,3500,21.3166666666667,27.02111024237681,9.6,2.742857142857143
21_02_10,Libor Hajek,D,NYR,BOS,0.0,0.5466762841198116,3.006719562658964,6.1501081963478805,0.10933525682396233,15.644444444444492,0.09786154403769509,0.0,2.4,3.0,3500,10.85,17.695852534562214,3.2,0.9142857142857144
21_02_10,Morgan Rielly,D,TOR,MTL,0.19702815860766829,0.8866267137345073,4.925703965191707,3.2509646170265274,0.1921024546424766,23.436111111111053,0.0,0.913921078097279,3.3,11.0,5300,26.40000000000003,7.272727272727264,3.2,0.6037735849056605
21_02_10,Ryan Lindgren,D,NYR,BOS,0.0,0.9687510511621674,3.3906286790675852,2.3007837465101475,0.141679841232467,19.053888888888846,0.1888671527654281,0.0,2.4,6.2,3700,23.34999999999997,24.66809421841545,9.6,2.5945945945945943
21_02_10,Shea Weber,D,MTL,TOR,0.34150197628458384,0.11383399209486128,5.2363636363636195,3.642687747035561,0.13432411067193634,23.21888888888895,0.20564625236763742,0.8543076610238778,3.3,12.8,5400,22.1333333333333,13.012048192771104,4.800000000000001,0.8888888888888891
21_02_10,Zach Bogosian,D,TOR,MTL,0.15569587405933755,0.4670876221780127,4.203788599602114,2.958221607127413,0.19306288383357859,14.936111111111103,0.1321948041640468,0.0,3.3,4.1,3500,15.833333333333,18.18947368421091,4.800000000000001,1.3714285714285717
