date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,ppg_projection,salary
21_03_05,Derick Brassard,W,ARI,MIN,0.3403450720869789,0.8508626802174472,4.0841408650437465,0.3403450720869789,0.3624675017726325,14.196111111111042,0.8304354306923757,0.6113501301777136,2.6,4.0,3700
21_03_05,Dominik Kubalik,W,CHI,TBL,1.2232935479760518,0.6116467739880259,9.786348383808415,1.0703818544790453,0.9358195642016799,15.311111111111025,0.5568213777558495,0.5306863059865687,2.6,10.0,5000
21_03_05,Drake Caggiula,W,ARI,MIN,0.7292246923583278,1.4584493847166555,7.839165442852024,1.0938370385374918,0.8276700258267021,12.150000000000075,0.4622319806242886,0.0,2.6,5.0,3200
21_03_05,Dustin Brown,W,LAK,STL,1.477446554490158,0.8058799388128136,8.998992650076419,0.8058799388128136,0.9079580643957701,18.212222222222326,0.7134925907689553,0.7053038548766665,2.6,10.7,5800
21_03_05,Dylan Gambrell,C,SJS,VGK,0.4732275874156514,0.7887126456927522,4.890018403295064,3.154850582771009,0.6435895188852859,15.034444444444448,0.816371116377219,0.0,2.5,6.5,3500
21_03_05,Evander Kane,W,SJS,VGK,0.9290322580645167,1.4599078341013834,10.882949308755768,1.0617511520737333,1.032552995391706,18.932777777777762,0.8261673937307787,0.8308117921028083,2.5,11.4,6700
21_03_05,Evgeny Kuznetsov,C,WSH,BOS,0.5592233009708707,1.2582524271844588,6.291262135922295,1.5378640776698944,0.5172815533980553,16.51111111111119,0.7592030181515707,0.5754017012789883,2.8,9.0,6200
21_03_05,Gabriel Landeskog,W,COL,ANA,0.8648500240236159,1.6061500446152868,7.1659001990528175,2.223900061775012,0.7474775207632679,20.581666666666585,0.7264358921259689,0.8132362483411594,3.3,13.8,6500
21_03_05,Gabriel Vilardi,C,LAK,STL,0.8121277747698998,0.8121277747698998,5.197617758527359,1.13697888467786,0.6172171088251238,14.50888888888885,0.7771522256832833,0.7015789552399516,2.6,8.9,3500
21_03_05,Garnet Hathaway,W,WSH,BOS,1.186487228783301,0.7909914858555341,6.327931886844273,2.570722329030486,0.7751716561384233,11.345555555555562,0.8423088924625614,0.0,2.8,3.9,3000
21_03_05,Gerald Mayhew,W,MIN,ARI,0.6093204287991744,0.2873507826612508,6.081122740567661,2.607365451800338,0.5318900170511143,11.195567680849043,0.6008521829688942,0.4704497738863025,2.9,3.9,3000
21_03_05,Isac Lundestrom,C,ANA,COL,0.7905138339920911,0.4743083003952547,5.059288537549383,2.5296442687746916,0.43952569169960276,14.257777777777838,0.6966595319327226,0.0,2.2,5.9,3800
21_03_05,J.T. Compher,C,COL,ANA,0.4969172724763017,0.3312781816508678,4.306616361461282,4.140977270635847,0.35778043618293737,16.89666666666673,0.6271237236002606,0.5512339446876462,3.3,7.8,3800
21_03_05,Jack Studnicka,C,BOS,WSH,0.4515985575875104,0.8739139283709825,5.994931977480461,1.1855114351165112,0.6398736765486429,11.926305110404769,0.6141531480474274,0.0,3.2,7.0,3000
21_03_05,Jake DeBrusk,W,BOS,WSH,0.1523551567988491,0.4570654703965473,9.598374878327494,1.0664860975919437,0.7267340979305101,14.736666666666645,0.5707229373564937,0.652961155566852,3.2,8.4,4500
21_03_05,Jakob Silfverberg,W,ANA,COL,0.755318702530319,0.9063824430363828,8.30850572783351,2.265956107590957,0.6782761948722265,17.209444444444422,0.6178298178129082,0.6703829605594511,2.2,9.2,5000
21_03_05,Jakub Vrana,W,WSH,BOS,1.3979979288919524,0.9319986192613017,9.475319295823233,0.46599930963065084,0.7704521919226759,15.121666666666705,0.5155264248923467,0.7141239231797553,2.8,10.2,4600
21_03_05,Jeff Carter,W,LAK,STL,0.8927464352138871,0.8927464352138871,9.522628642281463,1.4879107253564783,0.7320520768753874,16.837777777777784,0.7197347416581515,0.6633006325565304,2.6,9.9,4100
21_03_05,Joel Eriksson Ek,C,MIN,ARI,1.3115284974093337,0.8743523316062227,8.889248704663263,1.3115284974093337,1.1060556994818715,16.96722222222214,0.7894809978329191,0.7751371594119965,2.9,10.2,4700
21_03_05,Johan Larsson,C,ARI,MIN,0.5212858384013911,0.5212858384013911,4.170286707211129,1.216333622936579,0.43788010425716856,13.597222222222204,0.715206526465465,0.0,2.6,4.4,3000
21_03_05,John Leonard,W,SJS,VGK,0.6148849489554506,0.8759029496939933,5.953448331616058,1.4789037641254414,0.4715724253556156,11.57681778042697,0.8090027820559953,0.8726238035726436,2.5,5.0,3500
21_03_05,Jonathan Marchessault,W,VGK,SJS,1.0909090909090933,1.5000000000000033,8.727272727272746,0.9545454545454567,0.8877272727272749,16.72277777777775,0.8384781393073084,0.808985426204873,3.5,10.4,6000
21_03_05,Joonas Donskoi,W,COL,ANA,0.858901560337833,1.0306818724053999,5.153409362026999,2.4049243689459323,0.5376723767714835,13.62500000000001,0.5371777533059875,0.49126996449146415,3.3,8.0,3500
21_03_05,Jordan Greenway,W,MIN,ARI,0.6000500041670109,2.250187515626291,6.750562546878873,1.800150012501033,0.5355446287190572,15.580000000000073,1.0747365332143264,0.468622468052331,2.9,10.2,4000
21_03_05,Jordan Kyrou,W,STL,LAK,1.5820003515556376,1.740200386711201,8.85920196871157,0.6328001406222551,0.8242221831604871,13.75277777777775,0.6517324867929257,0.6866441551107509,2.9,9.9,4600
21_03_05,Keegan Kolesar,W,VGK,SJS,0.21839377113744898,0.9479024144916515,5.034246568548809,1.3132837953221117,0.6213665804722666,9.770932782819273,0.5540123456790129,0.0,3.5,3.0,3100
21_03_05,Kevin Fiala,W,MIN,ARI,1.2605042016806753,1.2605042016806753,10.504201680672297,1.2605042016806753,1.0434173669467812,17.571666666666633,0.8208001641004643,0.7960166035903599,2.9,11.7,5900
21_03_05,Kevin Labanc,W,SJS,VGK,0.585223116313093,1.0241404535479126,8.1931236283833,1.316752011704459,0.7461594732991934,15.991111111111136,0.9693641547770351,0.7353302796008547,2.5,9.9,4700
21_03_05,Kirill Kaprizov,W,MIN,ARI,0.8412835725924899,1.7022439393856925,5.979822473567588,1.1754564334017923,0.7533971311303106,15.859192578360883,0.4669759496062226,0.8926900155291834,2.9,12.6,5200
21_03_05,Kyle Clifford,W,STL,LAK,0.6822919957040903,0.4548613304693935,9.552087939857262,2.0468759871122706,0.6777433823993962,9.052222222222186,0.5062910672455474,0.0,2.9,4.6,3200
21_03_05,Kyle Rau,W,MIN,ARI,0.4531668249684428,0.596252544899011,5.8756682452377635,1.6282323301492847,0.49611343289518595,10.400274220766327,0.7530425410148331,0.0,2.9,0.9,3000
21_03_05,Lars Eller,C,WSH,BOS,1.0521920668058427,0.9018789144050081,6.613778705636725,2.1043841336116853,0.8808350730688912,16.57833333333338,0.7061133780896502,0.0,2.8,6.3,4700
21_03_05,Lawson Crouse,W,ARI,MIN,0.341135222211694,0.341135222211694,6.652136833128034,2.558514166587705,0.9381218610821581,13.738888888888862,0.46508564805297026,0.0,2.6,4.0,3200
21_03_05,Logan Couture,C,SJS,VGK,1.8040243620383973,0.8326266286331065,7.493639657697957,3.1917354097602413,0.9061753141623642,18.776666666666628,0.8893562343454497,0.8729376858459222,2.5,13.1,7600
21_03_05,Logan O'Connor,W,COL,ANA,1.0249109094533824,0.11057812787300232,7.65707076249121,2.3681386701809246,0.7948798284773685,9.492159731887114,0.6982328653105527,0.0,3.3,3.5,3000
21_03_05,Lucas Wallmark,C,CHI,TBL,0.39015931505364615,0.19507965752682307,3.121274520429169,1.5606372602145846,0.23214479245691946,12.352777777777797,0.7035890640100211,0.0,2.6,2.4,3200
21_03_05,Marcus Foligno,W,MIN,ARI,1.2561608583765864,1.099140751079513,5.9667640772887856,2.9833820386443928,0.6437824399180007,14.520000000000005,0.5449059715354511,0.0,2.9,5.8,3600
21_03_05,Mark Stone,W,VGK,SJS,0.9677419354838709,2.903225806451613,5.944700460829493,2.6267281105990787,0.6870967741935486,18.493888888888886,0.7317695917715651,0.6071879583003846,3.5,14.6,7400
21_03_05,Mathieu Joseph,W,TBL,CHI,0.7696007696007711,0.5772005772005784,5.579605579605592,1.1544011544011568,0.5233285233285243,10.771666666666647,0.5012758764906505,0.0,3.5,3.3,3300
21_03_05,Mats Zuccarello,W,MIN,ARI,0.8984651220831118,2.0964186181939275,4.642069797429411,2.0964186181939275,0.5285969801588973,15.548333333333286,0.5793760250919292,0.9676233991863211,2.9,10.3,5400
21_03_05,Matt Nieto,W,SJS,VGK,0.5592957017089597,0.3728638011393064,5.779388917659251,2.423614707405492,0.5592957017089597,13.72777777777777,0.0,0.0,2.5,3.4,3100
21_03_05,Matthew Highmore,W,CHI,TBL,0.22805017103762779,0.9122006841505111,6.613454960091206,1.5963511972633946,0.5792474344355746,9.387777777777798,0.5300377430206936,0.0,2.6,3.7,3000
21_03_05,Mattias Janmark,W,CHI,TBL,0.5821004123211259,0.4365753092408445,5.529953917050696,0.7276255154014073,0.4860538442881401,16.621111111111095,0.7023799568785837,0.6806082126244154,2.6,7.5,4100
21_03_05,Max Comtois,W,ANA,COL,1.5596568754874085,0.7798284377437043,6.862490252144598,2.8073823758773346,0.7923056927476037,14.544999999999876,0.5713855890101363,0.4210909954706159,2.2,5.5,4300
21_03_05,Max Pacioretty,W,VGK,SJS,1.4679171145790848,1.4679171145790848,12.544018979130362,2.402046187493048,1.0675760833302435,17.600555555555562,0.5415299372032177,0.48036152192148646,3.5,14.9,7800
21_03_05,Michael Chaput,C,ARI,MIN,0.3693692612358079,0.4859962157085411,4.520576447322751,2.1631122244228447,0.4588437976403521,10.633826386130625,0.6466450947174637,0.0,2.6,2.0,3000
21_03_05,Mike Hoffman,W,STL,LAK,1.3339371732059837,1.6303676561406468,8.300053522170566,1.0375066902713208,0.6136110996747525,15.936666666666616,0.573068249307688,0.7919496968536183,2.9,9.8,5200
21_03_05,Mikko Rantanen,W,COL,ANA,1.0342227169892695,1.292778396236587,7.756670377419521,1.5513340754839045,0.6412180845333473,19.497222222222117,0.7795656102409292,0.8486560604177994,3.3,16.6,8100
21_03_05,Nathan MacKinnon,C,COL,ANA,0.3575566959112735,2.264525740771398,9.77321635490814,1.0726700877338204,0.8116536997185906,20.830555555555524,0.6943478026483076,0.7918441886893851,3.3,18.2,8300
21_03_05,Nathan Walker,W,STL,LAK,0.5290082507539952,0.6456352052267283,5.748565961789702,1.5828825063905516,0.5487631826110452,11.202648837106654,0.5495434742918212,0.0,2.9,6.4,3000
21_03_05,Nazem Kadri,C,COL,ANA,0.9383552717320508,1.251140362309401,8.601589990877132,1.251140362309401,0.9868369607715398,16.710555555555516,0.5580147286457274,0.733449768338402,3.3,11.0,6600
21_03_05,Nic Dowd,C,WSH,BOS,0.7415417889695632,0.926927236211954,5.190792522786942,1.6684690251815175,0.6729491734898787,13.4705555555556,0.8934201337868337,0.0,2.8,3.3,3200
21_03_05,Nick Bjugstad,W,MIN,ARI,0.7584935475375301,0.7584935475375301,9.291545957334744,3.223597577034503,0.804003160389782,11.703333333333335,0.599097677267535,0.0,2.9,5.6,4100
21_03_05,Nick Bonino,C,MIN,ARI,0.3508942930942061,0.7017885861884122,4.912520103318886,6.491544422242813,0.5579219260197879,15.381111111111089,0.5878362284845575,0.0,2.9,6.3,3600
21_03_05,Nick Ritchie,W,BOS,WSH,0.7758286280763705,0.9309943536916448,7.13762337830261,1.8619887073832897,0.6966941080125808,15.048333333333424,0.652961155566852,0.8158895840715131,3.2,8.7,4200
21_03_05,Nick Schmaltz,C,ARI,MIN,1.1455391591424322,0.71596197446402,7.7323893242114154,1.861501133606452,0.8119008790421989,16.73722222222228,0.6057187420575925,0.8612214110795017,2.6,10.2,4300
21_03_05,Nicklas Backstrom,C,WSH,BOS,1.0620252230990452,1.7257909875359487,5.575632421269988,2.389556751972852,0.52304742237628,18.105000000000054,0.6392288096655446,0.7965921796952206,2.8,10.6,6500
21_03_05,Nico Sturm,W,MIN,ARI,0.7501605548509881,0.7873060160827149,7.073419410847117,2.460001418471344,0.7020819216398841,10.66253373055317,0.6500582966424839,0.0,2.9,5.4,3300
21_03_05,Ondrej Palat,W,TBL,CHI,0.744632441153351,0.744632441153351,5.957059529226808,3.127456252844074,0.5823025689819207,16.09277777777781,0.9320037977957367,0.8501634227434854,3.5,12.2,5700
21_03_05,Oskar Sundqvist,C,STL,LAK,0.48986256633555775,0.48986256633555775,5.388488229691135,2.286025309565936,0.481698190229965,15.422777777777728,0.6390247040300816,0.5476249038742481,2.9,8.2,3600
21_03_05,Pat Maroon,W,TBL,CHI,0.5932436143916531,0.5932436143916531,4.745948915133225,0.5932436143916531,0.4132930513595184,11.599444444444401,0.5562936124751534,0.5996463051933715,3.5,4.0,3100
21_03_05,Patrice Bergeron,C,BOS,WSH,1.0795527567150742,1.233774579102942,9.099087520884195,3.5471019149209586,0.7063359465364343,17.644444444444467,0.8706664028390525,0.8126756378968953,3.2,14.7,7700
21_03_05,Patrick Kane,W,CHI,TBL,1.4395127802897454,1.7717080372796863,10.962443480668059,1.2180492756297843,0.8227369198117542,21.85444444444447,0.8212332437787538,0.9230506737425256,2.6,15.7,8600
21_03_05,Patrick Marleau,W,SJS,VGK,0.34210776394564246,0.6842155278912849,7.013209160885671,1.3684310557825698,0.6653996008742745,13.583888888888904,0.7120891942966658,0.0,2.5,4.3,3000
