"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"166","Mitchell Marner","TOR","R","1","2.2333333333333","2.2333333333333","0","0","0","0","0","-","0","-","0","26.87","0","26.87","26.87","0","0","0","0","0","0","0","0","26.87","0","0","0","0","0","0","-"
"167","Denis Gurianov","DAL","R","1","1.9333333333333","1.9333333333333","0","0","0","0","0","-","31.03","0.00","1.19","31.03","31.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"168","Ivan Provorov","PHI","D","1","1.1666666666667","1.1666666666667","0","0","0","0","0","-","51.43","0.00","2.34","51.43","51.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"169","John Marino","PIT","D","1","0.61666666666667","0.61666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"170","Anthony Cirelli","T.B","C","1","0.53333333333333","0.53333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"171","Kevin Stenlund","CBJ","C","1","0.7","0.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"172","Adam Gaudette","VAN","C","1","0.2","0.2","0","300","300","0","300","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","30000.00"
"173","Mason Marchment","FLA","L","1","0.9","0.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"174","Kevin Rooney","NYR","C","1","0.016666666666667","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"175","Brandon Tanev","PIT","L","1","0.35","0.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","171.43","0","0","0","0","-"
"176","Matthew Tkachuk","CGY","L","1","1.1666666666667","1.1666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"177","Auston Matthews","TOR","C","1","2.6166666666667","2.6166666666667","0","0","0","0","0","-","0","-","0","22.93","0","22.93","0","0","22.93","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"178","Adam Fox","NYR","D","1","1.65","1.65","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"179","Ryan Lindgren","NYR","D","1","0.96666666666667","0.96666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"180","Julien Gauthier","NYR","R","1","0.016666666666667","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"181","Alex DeBrincat","CHI","L","1","2","2","0","0","0","0","0","-","0","-","0","30","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"182","Patrik Laine","CBJ","R","1","2.5666666666667","2.5666666666667","0","0","0","0","0","-","23.38","0.00","1.06","23.38","23.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"183","Dillon Dube","CGY","C","1","0.63333333333333","0.63333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"184","Dante Fabbro","NSH","D","1","0.16666666666667","0.16666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"185","Pierre-Luc Dubois","WPG","L","1","2.0666666666667","2.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","29.03","0","0","0","0","0","0","-"
"186","Mikhail Sergachev","T.B","D","1","0.71666666666667","0.71666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"187","Nathan Bastian","N.J","R","1","0.38333333333333","0.38333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"188","Filip Hronek","DET","D","1","3.3666666666667","3.3666666666667","0","0","0","0","0","0.00","17.82","0.00","0.33","17.82","17.82","0","0","0","0","0","0","0","0","0","0","0","0","0","17.82","0","0","0","-"
"189","Janne Kuokkanen","N.J","L","1","3.05","3.05","0","0","0","0","0","-","19.67","0.00","2.07","19.67","19.67","19.67","19.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
