"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"305","Michael McLeod","N.J","C","1","8.2833333333333","8.2833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","50.7","14.49","7.24","7.24","0","0","14.49","0","14.49","28.97","0","21.73","7.24","543.26"
"306","Filip Hronek","DET","D","1","18.416666666667","18.416666666667","0","0","0","0","0","0.00","9.77","0.00","0.33","13.03","9.77","0","0","0","0","0","0","0","0","0","0","3.26","0","6.52","6.52","3.26","0","0","-"
"307","Nikita Zaitsev","OTT","D","1","16.033333333333","16.033333333333","0","0","0","0","0","-","0","-","0.04","3.74","3.74","0","0","0","0","0","0","0","0","0","0","3.74","0","3.74","11.23","7.48","0","0","-"
"308","Janne Kuokkanen","N.J","L","1","15.216666666667","15.216666666667","0","0","0","0","0","0.00","15.77","0.00","1.25","19.72","19.72","7.89","7.89","0","0","0","0","0","0","0","0","0","7.89","0","0","0","0","0","-"
"309","Brandon Hagel","CHI","L","1","14.966666666667","14.966666666667","0","0","0","0","0","-","0","-","0","16.04","0","8.02","0","0","0","0","0","0","0","0","0","0","4.01","20.04","16.04","0","0","0","-"
"310","Mikhail Maltsev","N.J","L","1","8.8833333333333","8.8833333333333","0","0","0","0","0","-","0","-","0.9","13.51","13.51","6.75","6.75","0","0","0","0","0","0","0","6.75","0","6.75","0","0","6.75","0","6.75","0.00"
"311","Zach Aston-Reese","PIT","C","1","14.416666666667","14.416666666667","0","0","0","0","0","-","4.16","0.00","0.02","4.16","4.16","0","0","0","0","0","0","0","0","0","0","0","8.32","12.49","12.49","4.16","0","0","-"
"312","Nolan Patrick","PHI","C","1","9.0166666666667","9.0166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","13.31","6.65","6.65","0","0","0","0","0","13.31","26.62","0","0","19.96","0.00"
"313","Juuso Valimaki","CGY","D","1","14.716666666667","14.716666666667","0","0","0","0","0","0.00","8.15","0.00","0.14","16.31","8.15","0","0","0","0","0","0","0","0","0","0","0","0","0","8.15","4.08","0","0","-"
"314","Cal Foote","T.B","D","1","12.866666666667","12.866666666667","0","0","0","0","0","-","4.66","0.00","0.26","9.33","9.33","0","0","0","0","0","0","0","0","0","0","0","4.66","9.33","9.33","9.33","0","0","-"
"315","Michael Rasmussen","DET","C","1","11.383333333333","11.383333333333","0","0","0","0","0","-","0","-","0.3","15.81","10.54","5.27","0","0","0","0","0","0","0","0","0","0","0","15.81","5.27","0","31.63","31.63","263.54"
"316","Eeli Tolvanen","NSH","R","1","11.7","11.7","0","0","0","0","0","-","0","-","0.03","5.13","5.13","0","0","0","0","0","0","0","0","0","0","5.13","0","5.13","0","0","0","5.13","0.00"
"317","Nick Suzuki","MTL","C","1","20.383333333333","20.383333333333","0","2.94","2.94","0","2.94","50.00","5.89","0.00","0.43","11.77","8.83","5.89","5.89","0","5.89","0","0","0","0","0","0","5.89","2.94","14.72","5.89","0","32.38","17.66","190.47"
"318","Jason Robertson","DAL","L","1","13.2","13.2","4.55","0","0","0","4.55","100.00","13.64","33.33","1.13","18.18","18.18","13.64","4.55","0","0","0","0","0","0","0","0","9.09","0","0","4.55","0","0","0","-"
"319","Henri Jokiharju","BUF","D","1","17.216666666667","17.216666666667","0","0","0","0","0","-","6.97","0.00","0.07","10.45","6.97","0","0","0","0","0","0","0","0","0","0","3.48","0","3.48","6.97","0","0","0","-"
"320","Miro Heiskanen","DAL","D","1","20.733333333333","20.733333333333","2.89","0","0","0","2.89","100.00","5.79","50.00","0.26","14.47","8.68","8.68","0","2.89","0","0","0","0","0","0","0","11.58","0","0","2.89","2.89","0","0","-"
"321","Martin Necas","CAR","C","1","13.233333333333","13.233333333333","4.53","4.53","4.53","0","9.07","100.00","13.6","33.33","0.92","31.74","27.2","13.6","4.53","0","0","0","0","0","0","0","0","0","0","4.53","0","0","0","4.53","0.00"
"322","Josh Norris","OTT","C","1","13.183333333333","13.183333333333","4.55","0","0","0","4.55","100.00","9.1","50.00","1.78","9.1","9.1","9.1","4.55","0","0","0","0","0","0","0","4.55","0","0","0","4.55","0","27.31","18.2","273.07"
"323","Ian Mitchell","CHI","D","1","17.883333333333","17.883333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.07","3.36","0","0","-"
"324","Erik Brannstrom","OTT","D","1","12.95","12.95","0","0","0","0","0","-","9.27","0.00","0.12","13.9","9.27","0","0","0","0","0","0","0","0","0","0","0","0","0","4.63","0","0","0","-"
"325","Alexandre Texier","CBJ","C","1","11.416666666667","11.416666666667","0","0","0","0","0","-","10.51","0.00","0.55","10.51","10.51","10.51","5.26","0","0","0","0","0","0","0","0","0","0","5.26","0","5.26","5.26","5.26","262.77"
"326","Filip Chytil","NYR","C","1","15.033333333333","15.033333333333","0","3.99","3.99","0","3.99","33.33","7.98","0.00","0.18","7.98","7.98","0","0","0","0","7.98","3.99","3.99","0","0","3.99","3.99","7.98","0","0","0","0","0","-"
"327","David Kampf","CHI","C","1","16.05","16.05","0","0","0","0","0","-","11.21","0.00","1.23","18.69","14.95","18.69","7.48","0","3.74","0","0","0","0","0","0","3.74","3.74","0","14.95","7.48","33.64","18.69","240.32"
"329","Jan Rutta","T.B","D","1","18.416666666667","18.416666666667","0","0","0","0","0","0.00","6.52","0.00","0.15","16.29","6.52","6.52","0","0","0","0","0","0","0","0","0","3.26","0","0","9.77","6.52","0","0","-"
"330","Eetu Luostarinen","FLA","C","1","12.416666666667","12.416666666667","0","0","0","0","0","0.00","9.66","0.00","0.76","14.5","9.66","14.5","4.83","4.83","4.83","0","0","0","0","0","0","0","0","0","9.66","0","9.66","38.66","96.64"
"331","Alexander Volkov","T.B","R","1","7.5166666666667","7.5166666666667","0","0","0","0","0","-","7.98","0.00","0.29","15.96","7.98","7.98","0","0","0","15.96","7.98","7.98","0","0","0","0","0","0","15.96","7.98","0","0","-"
"332","Jacob Bryson","BUF","D","1","19.933333333333","19.933333333333","0","0","0","0","0","0.00","3.01","0.00","0.11","9.03","6.02","0","0","0","0","0","0","0","0","0","0","0","0","12.04","3.01","3.01","0","0","-"
"333","Emil Bemstrom","CBJ","C","1","10.266666666667","10.266666666667","0","0","0","0","0","0.00","5.84","0.00","0.63","11.69","11.69","11.69","5.84","0","0","0","0","0","0","0","0","5.84","0","0","11.69","0","0","0","-"
"334","Drake Batherson","OTT","R","1","14.083333333333","14.083333333333","0","0","0","0","0","-","4.26","0.00","0.67","17.04","12.78","12.78","4.26","0","0","0","0","0","0","0","0","0","4.26","0","4.26","0","0","4.26","0.00"
"335","Pius Suter","CHI","C","1","17.683333333333","17.683333333333","0","0","0","0","0","0.00","6.79","0.00","0.61","10.18","6.79","10.18","3.39","0","0","0","0","0","0","0","0","0","0","0","6.79","10.18","10.18","37.32","72.71"
"336","Eric Robinson","CBJ","L","1","12.95","12.95","4.63","0","0","0","4.63","50.00","4.63","100.00","0.46","9.27","4.63","9.27","4.63","0","0","0","0","0","0","0","0","4.63","0","0","9.27","0","0","0","-"
"337","Oliver Wahlstrom","NYI","R","1","11.966666666667","11.966666666667","0","0","0","0","0","-","0","-","0.52","10.03","10.03","5.01","5.01","0","0","0","0","0","0","0","0","0","0","5.01","5.01","0","0","0","-"
"338","Philipp Kurashev","CHI","C","1","15.066666666667","15.066666666667","0","0","0","0","0","-","11.95","0.00","0.9","27.88","15.93","11.95","0","0","3.98","7.96","3.98","3.98","0","0","0","3.98","3.98","0","7.96","3.98","0","7.96","0.00"
"339","Quinn Hughes","VAN","D","1","20.233333333333","20.233333333333","0","0","0","0","0","-","2.97","0.00","0.1","8.9","5.93","2.97","0","0","0","0","0","0","0","0","0","2.97","0","0","0","0","0","0","-"
"340","Brady Tkachuk","OTT","L","1","13.783333333333","13.783333333333","0","4.35","4.35","0","4.35","100.00","13.06","0.00","1.34","13.06","13.06","13.06","8.71","0","4.35","0","0","0","0","0","0","4.35","0","13.06","4.35","0","0","8.71","0.00"
"341","K'Andre Miller","NYR","D","1","15.5","15.5","0","0","0","0","0","0.00","3.87","0.00","0.13","7.74","7.74","0","0","0","0","0","0","0","0","0","0","7.74","0","7.74","0","3.87","0","0","-"
"342","Filip Zadina","DET","R","1","13.35","13.35","4.49","0","0","0","4.49","100.00","22.47","20.00","2.12","22.47","22.47","17.98","8.99","0","4.49","0","0","0","0","0","0","0","0","0","4.49","0","0","0","-"
"343","Jesperi Kotkaniemi","MTL","C","1","14.966666666667","14.966666666667","0","0","0","0","0","-","4.01","0.00","0.18","4.01","4.01","0","0","0","0","0","0","0","0","0","0","0","0","0","4.01","4.01","12.03","16.04","171.81"
"344","Andrei Svechnikov","CAR","R","1","14.95","14.95","0","4.01","4.01","0","4.01","50.00","8.03","0.00","0.88","12.04","12.04","4.01","4.01","0","0","0","0","0","0","0","0","4.01","8.03","4.01","12.04","0","0","0","-"
"345","Rasmus Dahlin","BUF","D","1","18.116666666667","18.116666666667","0","0","0","0","0","0.00","0","-","0","3.31","0","0","0","0","0","0","0","0","0","0","0","0","0","3.31","3.31","0","0","0","-"
"346","Noah Dobson","NYI","D","1","17.666666666667","17.666666666667","3.4","0","0","0","3.4","50.00","6.79","50.00","0.61","10.19","6.79","6.79","6.79","0","0","0","0","0","0","0","0","6.79","3.4","0","16.98","0","0","0","-"
"347","Adam Boqvist","CHI","D","1","14.833333333333","14.833333333333","0","0","0","0","0","-","0","-","0","4.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.13","4.04","0","0","-"
"348","Ty Smith","N.J","D","1","14.9","14.9","0","0","0","0","0","-","4.03","0.00","0.23","16.11","8.05","4.03","0","0","0","0","0","0","0","0","0","4.03","0","4.03","0","0","0","0","-"
"349","Alexander Romanov","MTL","D","1","17.916666666667","17.916666666667","0","0","0","0","0","0.00","3.35","0.00","0.12","16.74","6.7","6.7","0","0","0","0","0","0","0","0","0","3.35","0","13.4","0","0","0","0","-"
