"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"173","Marcus Sorensen","S.J","L","1","13.266666666667","0","0","0","0","0","-","1","0.00","0.09","1","1","1","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","50.00"
"174","Tim Heed","S.J","D","1","9.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","-"
"175","Brandon Davidson","CGY","D","1","15.083333333333","0","0","0","0","0","-","6","0.00","0.13","9","7","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","-"
"176","Zach Trotman","PIT","D","1","17.3","0","0","0","0","0","-","1","0.00","0.03","3","1","3","1","1","0","0","0","0","0","0","0","0","0","2","6","2","0","0","-"
"177","Mark Stone","VGK","R","1","15.966666666667","0","0","0","0","0","-","0","-","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","100.00"
"179","Cory Conacher","T.B","C","1","9.7166666666667","0","0","0","0","0","-","2","0.00","0.14","2","2","2","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","-"
"180","Ryan Dzingel","CAR","C","1","10.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0.00"
"182","Josh Archibald","EDM","R","1","9.6833333333333","0","0","0","0","0","0.00","0","-","0.16","2","2","2","1","0","0","2","1","1","0","0","0","0","0","4","1","1","0","0","-"
"183","Tyler Graovac","VAN","C","1","5.6833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","2","33.33"
"184","Johnny Gaudreau","CGY","L","1","15.116666666667","0","0","0","0","0","-","3","0.00","0.29","8","5","4","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","-"
"185","Sean Kuraly","BOS","C","1","10.333333333333","0","0","0","0","0","-","1","0.00","0.1","2","2","2","0","0","0","2","1","1","0","0","0","0","0","2","0","1","3","3","50.00"
"188","T.J. Tynan","COL","C","1","9.75","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","1","0","100.00"
"189","Adam Lowry","WPG","L","1","14.483333333333","0","0","0","0","0","0.00","0","-","0.05","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","9","35.71"
"190","Logan Shaw","WPG","R","1","4.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"191","Josh Leivo","VAN","L","1","11.35","0","0","0","0","0","-","1","0.00","0.08","1","1","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","100.00"
"192","Rocco Grimaldi","NSH","C","1","11.533333333333","0","0","0","0","0","-","2","0.00","0.12","3","3","2","0","0","2","0","0","0","0","0","0","1","1","1","0","0","0","0","-"
"195","Victor Rask","MIN","C","1","7.4666666666667","0","0","0","0","0","-","1","0.00","0.12","3","2","2","1","0","1","0","0","0","0","0","0","0","1","1","0","0","2","1","66.67"
"197","Markus Granlund","EDM","C","1","9.7333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","1","0","100.00"
"199","Matt Nieto","COL","L","1","9.5833333333333","0","0","0","0","0","-","2","0.00","0.35","4","2","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"200","William Karlsson","VGK","C","1","16.366666666667","0","0","0","0","0","-","2","0.00","0.28","3","2","2","1","0","0","0","0","0","0","0","0","0","1","0","5","1","8","4","66.67"
"201","Ryan Nugent-Hopkins","EDM","C","1","11.216666666667","0","0","0","0","0","-","1","0.00","0.1","1","1","1","1","0","0","2","1","1","0","0","0","0","0","1","2","0","5","3","62.50"
"203","Adam Larsson","EDM","D","1","13.616666666667","0","0","0","0","0","-","0","-","0.02","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"205","Sean Couturier","PHI","C","1","14.4","0","0","0","0","0","-","0","-","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","66.67"
"206","Dougie Hamilton","CAR","D","1","16.416666666667","0","0","0","0","0","-","3","0.00","0.18","5","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","-"
"207","Jonas Brodin","MIN","D","1","18.766666666667","0","0","0","0","0","-","1","0.00","0.03","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","4","0","0","0","-"
"208","Jamie Oleksiak","DAL","D","1","14","0","0","0","0","0","0.00","2","0.00","0.04","3","2","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","-"
"209","J.T. Miller","VAN","C","1","13.45","0","0","0","0","0","-","1","0.00","0.14","3","2","3","2","0","0","0","0","0","0","0","1","1","0","0","3","2","1","2","33.33"
"211","Oscar Klefbom","EDM","D","1","16.566666666667","0","0","0","0","0","0.00","1","0.00","0.04","4","3","0","0","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","-"
"212","Connor Murphy","CHI","D","1","16.1","0","0","0","0","0","-","2","0.00","0.08","4","2","0","0","0","0","0","0","0","0","0","0","2","0","1","3","2","0","0","-"
"213","Rickard Rakell","ANA","R","1","18.466666666667","0","0","0","0","0","-","2","0.00","0.55","4","4","4","3","0","3","0","0","0","0","0","0","1","1","1","1","0","0","0","-"
"214","Jonathan Marchessault","VGK","C","1","16.116666666667","0","0","0","0","0","-","5","0.00","0.21","6","6","3","0","0","0","0","0","0","0","0","0","0","0","1","4","0","1","1","50.00"
"215","Barclay Goodrow","S.J","C","1","15.2","0","0","0","0","0","-","1","0.00","0.05","1","1","1","0","1","0","0","0","0","0","0","0","0","1","4","4","0","8","6","57.14"
"216","Brad Hunt","MIN","D","1","9.6666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"217","Luke Glendening","DET","C","1","9.3833333333333","0","0","0","0","0","-","1","0.00","0.11","2","2","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","4","4","50.00"
"218","Yanni Gourde","T.B","C","1","15.883333333333","0","0","0","0","0","-","2","0.00","0.32","5","3","1","1","0","0","0","0","0","0","0","0","0","2","1","2","1","0","0","-"
"219","Ryan Murray","CBJ","D","1","19.383333333333","0","0","0","0","0","-","0","-","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","-"
"220","Alex Galchenyuk","PIT","C","1","7.7","0","0","0","0","0","-","1","0.00","0.03","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","-"
"221","Morgan Rielly","TOR","D","1","19.7","0","0","0","0","0","-","1","0.00","0.01","3","1","0","0","0","0","2","1","1","0","0","0","0","0","2","3","2","0","0","-"
"222","Matt Dumba","MIN","D","1","17.483333333333","0","0","0","0","0","-","1","0.00","0.14","6","4","4","1","1","0","2","1","1","0","0","2","0","2","0","0","1","0","0","-"
"223","Tanner Pearson","VAN","L","1","9.7666666666667","0","0","0","0","0","-","2","0.00","0.11","2","2","2","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","1","0.00"
"224","Mark Jankowski","CGY","C","1","11.516666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","8","4","66.67"
"225","Olli Maatta","CHI","D","1","13.183333333333","0","0","0","0","0","-","1","0.00","0.02","6","2","1","0","0","1","0","0","0","0","0","0","0","0","4","4","2","0","0","-"
"226","Mike Matheson","FLA","D","1","21.783333333333","0","0","0","0","0","-","4","0.00","0.14","6","6","2","0","0","0","0","0","0","0","0","0","1","1","1","5","1","0","0","-"
"227","Zemgus Girgensons","BUF","C","1","8.7166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0.00"
"228","Cody Ceci","TOR","D","1","18.666666666667","0","0","0","0","0","-","0","-","0.01","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","-"
"230","Slater Koekkoek","CHI","D","1","8.0666666666667","0","0","0","0","0","-","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","-"
"231","Filip Forsberg","NSH","L","1","13.666666666667","0","0","0","0","0","0.00","1","0.00","0.08","1","1","1","1","0","0","0","0","0","0","0","1","1","0","3","0","0","0","0","-"
"233","Matt Grzelcyk","BOS","D","1","17.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","2","0","2","0","0","-"
"234","Colton Parayko","STL","D","1","19.583333333333","0","0","0","0","0","0.00","1","0.00","0.01","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","-"
"236","Esa Lindell","DAL","D","1","19.4","0","0","0","0","0","0.00","2","0.00","0.86","5","4","1","0","1","0","0","0","0","0","0","0","2","0","2","1","2","0","0","-"
"237","Shayne Gostisbehere","PHI","D","1","9.8","0","0","0","0","0","-","1","0.00","0.03","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"238","Mackenzie MacEachern","STL","L","1","9.7333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0.00"
"239","Jujhar Khaira","EDM","L","1","6.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","0","0","0","1","1","50.00"
"240","Adam Pelech","NYI","D","1","17.6","0","0","0","0","0","-","1","0.00","0.02","1","1","0","0","0","0","2","1","1","0","0","1","0","0","1","2","0","0","0","-"
"241","Jimmy Vesey","BUF","L","1","15.516666666667","0","0","0","0","0","0.00","3","0.00","0.22","5","3","5","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"242","Jordan Martinook","CAR","L","1","12.2","0","0","0","0","0","0.00","3","0.00","0.21","5","3","4","1","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","-"
"243","Colton Sissons","NSH","C","1","5.4166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","4","20.00"
"244","Teddy Blueger","PIT","C","1","8.5","0","0","0","0","0","-","1","0.00","0.04","2","2","1","0","0","1","0","0","0","0","0","0","1","0","0","2","0","6","1","85.71"
"245","Jake McCabe","BUF","D","1","19.3","0","0","0","0","0","-","1","0.00","0.01","5","2","2","0","0","1","2","1","1","0","0","0","0","0","2","2","1","0","0","-"
"249","Jaccob Slavin","CAR","D","1","19.5","0","0","0","0","0","-","0","-","0","2","0","1","0","0","0","0","0","0","0","0","0","1","2","0","1","2","0","0","-"
"252","Erik Gustafsson","CHI","D","1","15.5","0","0","0","0","0","0.00","0","-","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","-"
"253","Josh Anderson","CBJ","R","1","8.75","0","0","0","0","0","0.00","1","0.00","0.14","3","3","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","-"
"255","Ben Hutton","L.A","D","1","13.616666666667","0","0","0","0","0","-","2","0.00","0.03","2","2","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","-"
"256","Alexander Kerfoot","TOR","C","1","13.383333333333","0","0","0","0","0","-","1","0.00","0.13","2","2","2","1","0","0","0","0","0","0","0","0","1","0","2","2","4","3","1","75.00"
"257","Joakim Ryan","L.A","D","1","12.45","0","0","0","0","0","-","1","0.00","0.01","2","1","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","-"
"258","Jayson Megna","COL","C","1","7.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","1","0","2","1","0","0","1","0.00"
"259","Tim Schaller","VAN","C","1","9.3","0","0","0","0","0","-","2","0.00","0.16","2","2","2","1","0","0","2","1","1","0","0","0","0","0","0","1","0","0","0","-"
"260","Nate Schmidt","VGK","D","1","18.966666666667","0","0","0","0","0","-","4","0.00","0.17","5","5","2","1","0","1","0","0","0","0","0","0","1","0","0","1","4","0","0","-"
"261","Carter Rowney","ANA","R","1","12.716666666667","0","0","0","0","0","-","1","0.00","0.11","3","2","3","1","1","1","2","1","1","0","0","0","0","1","1","2","2","0","0","-"
"262","Chad Ruhwedel","PIT","D","1","11.633333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","2","0","0","0","0","-"
"264","Andreas Johnsson","TOR","L","1","15.1","0","0","0","0","0","-","1","0.00","0.24","3","3","2","2","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","-"
"266","Connor Clifton","BOS","D","1","12.7","0","0","0","0","0","-","0","-","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"267","Carson Soucy","MIN","D","1","9.65","0","0","0","0","0","-","3","0.00","0.03","3","3","0","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","-"
"268","Josh Brown","FLA","D","1","13.616666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","0","0","-"
"273","Ryan Graves","COL","D","1","13.233333333333","0","0","0","0","0","-","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","-"
"275","Shea Theodore","VGK","D","1","18.716666666667","0","0","0","0","0","-","4","0.00","0.12","9","6","3","0","1","0","0","0","0","0","0","0","0","0","0","4","1","0","0","-"
"277","Ryan Hartman","MIN","R","1","9.6333333333333","0","0","0","0","0","-","1","0.00","0.23","2","1","1","1","0","0","0","0","0","0","0","0","0","1","2","2","0","1","1","50.00"
"278","Adam Erne","DET","L","1","9.7333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"279","Jacob de la Rose","STL","L","1","9.4","0","0","0","0","0","-","2","0.00","0.14","3","3","2","1","0","0","0","0","0","0","0","0","0","0","3","0","0","3","4","42.86"
