first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
David,Krejci,C,O,,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,5400,17,0.0,4.8,14.4,0.0,0.00
Matt,Grzelcyk,D,O,,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,4200,16,1.6,7.0,11.2,0.0,0.00
Callum,Booth,G,O,,,-YES,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,6500,6,,,,0.0,0.00
Alex,Lyon,G,O,,,-YES,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,7800,14,-9.6,5.6,22.4,0.0,0.00
Laurent,Brossoit,G,O,2,,-YES,2021-02-21,All Day,WPG,VAN,+1.5,6,3,8300,29,11.2,25.4,43.2,0.0,0.00
Dan,Vladar,G,O,,,-YES,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,6500,6,-2.4,-2.4,-2.4,0.0,0.00
Mikhail,Berdin,G,O,,,-YES,2021-02-21,All Day,WPG,VAN,+1.5,6,3,6500,29,,,,0.0,0.00
Zane,McIntyre,G,O,,,-YES,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,6500,14,-3.2,1.9,4.8,0.0,0.00
Jakub,Zboril,D,O,,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3500,16,0.0,3.2,6.4,0.0,0.00
Marcus,Hogberg,G,O,1,,-YES,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,6600,30,-4.0,9.0,32.0,0.0,0.00
Justin,Braun,D,O,,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3500,6,1.6,5.1,12.8,0.0,0.00
Steven,Kampfer,D,O,,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3500,16,3.2,7.6,18.6,0.0,0.00
Kevan,Miller,D,O,3,,,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,3600,16,0.0,3.5,9.6,0.0,0.00
Filip,Gustavsson,G,O,,,-YES,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,6500,30,,,,0.0,0.00
Felix,Sandstrom,G,O,,,-YES,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,6500,14,,,,0.0,0.00
Tyson,Foerster,W,O,,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,3000,21,,,,0.0,0.00
Claude,Giroux,W,O,,,,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,6200,21,0.0,7.2,11.7,0.0,0.00
Brian,Elliott,G,O,2,,-YES,2021-02-21,All Day,PHI,BOS,+1.5,5.5,2.4,7800,14,2.4,21.6,52.0,0.0,0.00
Jaroslav,Halak,G,O,2,,-YES,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,8400,6,6.4,20.6,36.8,0.0,0.00
Anton,Forsberg,G,O,,,-YES,2021-02-21,All Day,WPG,VAN,+1.5,6,3,6500,29,1.6,17.0,32.8,0.0,0.00
Joey,Daccord,G,O,,,-YES,2021-02-21,All Day,OTT,MTL,+1.5,6.5,2.7,6600,30,8.0,8.0,8.0,0.0,0.00
Jeremy,Swayman,G,O,,,-YES,2021-02-21,All Day,BOS,PHI,-1.5,5.5,3.1,6500,6,,,,0.0,0.00
