date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_01_08,WPG,Jansen Harkins,C,8.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0
20_01_08,DAL,Roope Hintz,L,10.883333333333,0,0,0,0,0.0,2.4333333333333,0.0,0.0,2.0,0.0,0.21,0.31666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,13.63333333333297,3.2,14.083129584352454
20_01_08,L.A,Austin Wagner,L,13.483333333333,0,0,1,0,0.06,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,14.783333333333001,1.6,6.493799323562717
20_01_08,WPG,Jack Roslovic,C,13.683333333333,0,0,3,0,0.16,1.1666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,14.8499999999997,4.800000000000001,19.39393939393979
20_01_08,DAL,Denis Gurianov,R,12.916666666667,0,0,4,0,0.07,2.3166666666667,0.0,0.0,1.0,0.0,0.11,0.65,0.0,0.0,0.0,0.0,0.0,6.4,1.6,0.0,15.8833333333337,8.0,30.22035676810004
20_01_08,PHI,Ivan Provorov,D,17.733333333333,0,0,3,0,0.37,2.5,0.0,0.0,0.0,0.0,0.0,6.15,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,26.383333333333,4.800000000000001,10.915982312065838
20_01_08,PHI,Mikhail Vorobyev,C,9.1166666666667,0,0,1,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,9.1166666666667,1.6,10.530164533820804
20_01_08,WPG,Mason Appleton,C,8.15,0,0,0,0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.9333333333333,1.0,0.0,1.0,0.0,0.1,0.0,0.0,15.6,10.0833333333333,15.6,92.82644628099203
20_01_08,L.A,Matt Roy,D,16.833333333333,0,0,2,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.0,0.0,4.800000000000001,0.0,1.6,18.433333333333003,6.4,20.831826401447028
20_01_08,WPG,Sami Niku,D,11.233333333333,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,11.233333333333,1.6,8.545994065282153
20_01_08,WPG,Patrik Laine,R,18.916666666667,0,0,3,0,0.18,3.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,22.0000000000003,4.800000000000001,13.090909090908916
20_01_08,DAL,Miro Heiskanen,D,18.816666666667,0,0,2,0,0.08,2.5666666666667,0.0,0.0,0.0,0.0,0.0,1.6333333333333,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,23.016666666667003,3.2,8.341781317885468
20_01_08,L.A,Sean Walker,D,16.866666666667,0,0,1,0,0.01,1.9,0.0,0.0,1.0,0.0,0.04,1.1666666666667,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,19.9333333333337,3.2,9.632107023411194
20_01_08,PHI,Joel Farabee,L,7.8833333333333,0,0,0,0,0.01,0.8,0.0,0.0,0.0,0.0,0.0,1.1333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.816666666666599,0.0,0.0
20_01_08,L.A,Blake Lizotte,C,1.8833333333333,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.8833333333333,1.6,50.97345132743453
20_01_08,DAL,Joel Kiviranta,L,11.65,0,0,1,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,11.65,3.2,16.48068669527897
