date,team,name,position,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60,SA,SV,GA,SV%,GSAA,xGA,xGSAA,win,SO
19_10_13,WPG,Kyle Connor,L,11.583333333333,0.0,0.0,2.0,0.0,0.09,6.0333333333333,0.0,0.0,1.0,0.0,0.05,0.9,0.0,0.0,0.0,0.0,0.0,3.2,1.6,0.0,18.5166666666663,4.800000000000001,15.553555355535863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Oliver Kylington,D,11.783333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,11.783333333333,1.6,8.147100424328379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,John Marino,D,14.8,0.0,0.0,0.0,1.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,3.0833333333333,0.0,0.0,0.0,1.0,0.0,1.6,0.0,1.6,18.2333333333333,3.2,10.530164533820862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Austin Czarnik,C,8.3833333333333,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,8.3833333333333,1.6,11.45129224652092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Derek Ryan,C,12.15,0.0,0.0,3.0,2.0,0.14,0.15,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.65,8.0,32.76450511945393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Mason Appleton,C,11.633333333333,0.0,0.0,0.0,1.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,11.983333333333,1.6,8.011126564673381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Matt Roy,D,14.7,0.0,0.0,4.0,0.0,0.26,0.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,15.03333333333333,6.4,25.54323725055433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,CGY,Matthew Tkachuk,L,14.833333333333,0.0,0.0,4.0,0.0,0.31,4.2833333333333,0.0,0.0,1.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,6.4,1.6,0.0,19.1166666666663,8.0,25.108979947690106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Patrik Laine,R,12.333333333333,0.0,0.0,2.0,2.0,0.05,6.0333333333333,0.0,1.0,2.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,6.4,11.7,0.0,18.3666666666663,18.1,59.1288566243206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Dylan Gambrell,C,8.7,0.0,0.0,1.0,1.0,0.04,1.2833333333333,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,10.7833333333333,3.2,17.80525502318398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Nicolas Hague,D,11.95,0.0,0.0,0.0,1.0,0.0,0.46666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.5,0.0,12.41666666666667,10.1,48.80536912751677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Mario Ferraro,D,10.5,0.0,0.0,2.0,1.0,0.04,0.11666666666667,0.0,0.0,0.0,0.0,0.0,1.8166666666667,0.0,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,12.43333333333337,4.800000000000001,23.163538873994572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,VGK,Cody Glass,C,11.466666666667,0.0,0.0,1.0,0.0,0.06,2.5666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,14.033333333333701,1.6,6.840855106888182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,WPG,Neal Pionk,D,15.766666666667,0.0,0.0,4.0,0.0,0.06,3.4333333333333,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,20.6000000000003,6.4,18.640776699028855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,Adam Johnson,C,6.2666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21666666666667,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,6.483333333333371,1.6,14.807197943444645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Lukas Radil,C,8.2666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,8.2666666666667,1.6,11.612903225806406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,PIT,Dominik Kahun,C,11.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,L.A,Blake Lizotte,C,13.566666666667,0.0,0.0,1.0,0.0,0.05,0.33333333333333,0.0,0.0,0.0,0.0,0.0,0.83333333333333,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,14.733333333333661,1.6,6.515837104072253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Lean Bergmann,C,6.6666666666667,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,6.6666666666667,1.6,14.39999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_10_13,S.J,Martin Jones,G,59.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.75,33.6,33.74058577405858,33.0,32.0,1.0,0.97,2.59,2.3,1.2999999999999998,1.0,0.0
19_10_13,VGK,Marc-Andre Fleury,G,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,32.8,32.8,38.0,36.0,2.0,0.947,2.13,3.03,1.0299999999999998,1.0,0.0
19_10_13,PIT,Tristan Jarry,G,59.966666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.966666666667,25.6,25.614230127848664,29.0,27.0,2.0,0.931,1.15,1.82,-0.17999999999999994,1.0,0.0
19_10_13,L.A,Jonathan Quick,G,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4.800000000000001,4.800000000000001,36.0,31.0,5.0,0.861,-1.09,2.83,-2.17,0.0,0.0
19_10_13,CGY,Cam Talbot,G,57.016666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.016666666667,1.6000000000000014,1.6837182110493925,20.0,17.0,3.0,0.85,-0.83,1.45,-1.55,0.0,0.0
19_10_13,WPG,Laurent Brossoit,G,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-11.2,-11.2,28.0,21.0,7.0,0.75,-3.96,2.26,-4.74,0.0,0.0
