date,team,name,evTOI,evG,evA,evSH,evBkS,evixG,ppTOI,ppG,ppA,ppSH,ppBkS,ppixG,pkTOI,pkG,pkA,pkSH,pkBkS,pkixG,evFP,ppFP,pkFP,TOI,FP,FP/60
20_02_15,TOR,Auston Matthews,16.533333333333,1,1,2,2,0.15,1.8333333333333,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,26.4,3.2,0.0,18.3666666666663,29.599999999999998,96.69691470054639
20_02_15,BOS,Charlie McAvoy,17.316666666667,1,1,3,0,0.17,1.7666666666667,0.0,0.0,1.0,0.0,0.03,1.4,0.0,0.0,0.0,1.0,0.0,24.8,1.6,1.6,20.4833333333337,28.000000000000004,82.01790073230123
20_02_15,CGY,Dillon Dube,11.2,0,2,3,1,0.21,2.95,0.0,0.0,0.0,0.0,0.0,0.78333333333333,0.0,0.0,0.0,0.0,0.0,22.400000000000002,0.0,0.0,14.933333333333328,22.400000000000002,90.00000000000004
20_02_15,CHI,Alex Nylander,10.133333333333,2,0,4,0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,10.133333333333,30.4,180.00000000000588
20_02_15,L.A,Alex Iafallo,18.3,0,2,2,0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.16666666666667,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,18.516666666666673,19.2,62.21422142214219
20_02_15,CHI,Kirby Dach,12.016666666667,1,1,2,0,0.29,1.3666666666667,0.0,0.0,0.0,0.0,0.0,1.0166666666667,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,14.400000000000398,23.2,96.66666666666399
20_02_15,NSH,Dan Hamhuis,11.166666666667,0,1,2,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.0166666666667,0.0,0.0,0.0,0.0,0.0,12.799999999999999,0.0,0.0,16.1833333333337,12.799999999999999,47.45623069000922
20_02_15,STL,Alexander Steen,8.9333333333333,1,0,1,1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,4.4166666666667,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,13.35,15.2,68.31460674157303
20_02_15,S.J,Brent Burns,19.65,0,1,2,2,0.08,3.85,0.0,0.0,1.0,2.0,0.15,3.7,0.0,0.0,0.0,0.0,0.0,14.399999999999999,4.800000000000001,0.0,27.2,19.2,42.352941176470594
20_02_15,DAL,Joe Pavelski,14.716666666667,0,1,2,0,0.17,2.3333333333333,0.0,1.0,1.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,11.2,10.1,0.0,17.050000000000303,21.299999999999997,74.95601173020393
20_02_15,DAL,Blake Comeau,15.75,1,0,2,0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,15.75,15.2,57.9047619047619
20_02_15,ARI,Alex Goligoski,14.2,0,1,0,3,0.05,2.8,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,20.5,12.8,37.46341463414634
20_02_15,DAL,Andrew Cogliano,14.116666666667,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,14.116666666667,9.6,40.802833530105296
20_02_15,S.J,Marc-Edouard Vlasic,19.233333333333,0,1,0,2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,1.0,0.0,11.2,0.0,1.6,21.533333333333,12.799999999999999,35.66563467492315
20_02_15,BOS,Brad Marchand,14.25,0,1,2,0,0.17,2.7833333333333,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.0,0.0,0.0,0.0,11.2,0.0,10.0,19.2333333333333,21.2,66.13518197573669
20_02_15,CGY,Milan Lucic,11.216666666667,0,1,2,0,0.07,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,13.566666666667,11.2,49.53316953316831
20_02_15,PHI,Claude Giroux,16.133333333333,1,0,2,0,0.24,5.4666666666667,0.0,1.0,1.0,0.0,0.16,0.33333333333333,0.0,0.0,0.0,0.0,0.0,15.2,10.1,0.0,21.933333333333028,25.299999999999997,69.20972644376995
20_02_15,T.B,Alex Killorn,12.016666666667,1,0,1,0,0.31,3.5166666666667,0.0,0.0,0.0,0.0,0.0,2.9833333333333,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,18.516666666667,13.6,44.068406840683274
20_02_15,T.B,Kevin Shattenkirk,14.233333333333,0,1,0,0,0.0,1.8333333333333,0.0,0.0,0.0,0.0,0.0,0.76666666666667,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.83333333333297,8.0,28.51485148514913
20_02_15,T.B,Pat Maroon,8.6333333333333,0,1,2,0,0.25,2.3,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,11.283333333333301,11.2,59.55686853766635
20_02_15,FLA,Evgenii Dadonov,13.25,0,1,1,0,0.04,4.3166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,17.5666666666667,9.6,32.78937381404169
20_02_15,TOR,Jake Muzzin,20.25,1,0,1,5,0.02,0.016666666666667,0.0,0.0,0.0,0.0,0.0,4.8333333333333,0.0,0.0,0.0,3.0,0.0,21.6,0.0,4.800000000000001,25.099999999999966,26.400000000000002,63.10756972111563
20_02_15,WSH,Carl Hagelin,10.516666666667,1,0,1,1,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.5833333333333,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,13.1000000000003,15.2,69.61832061068542
20_02_15,OTT,Cody Goloubef,7.5,1,0,1,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,7.5,13.6,108.8
20_02_15,ARI,Derek Stepan,12.816666666667,0,1,3,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,4.5166666666667,0.0,0.0,3.0,1.0,0.32,14.4,0.0,6.4,17.3333333333337,20.8,71.99999999999848
20_02_15,T.B,Tyler Johnson,8.9166666666667,0,1,0,0,0.0,2.7166666666667,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.9833333333334,8.0,40.05563282336556
20_02_15,STL,Tyler Bozak,12.316666666667,0,1,1,0,0.06,3.0833333333333,0.0,0.0,1.0,0.0,0.06,1.85,0.0,0.0,0.0,0.0,0.0,9.6,1.6,0.0,17.250000000000302,11.2,38.956521739129755
